"from","to"
"Age ","Hypercholesterolemia "
"Age ","People in House "
"Age ","Smoker "
"Sex ","Psychiatric/Mental Health Problem "
"BMI ","Apnea Score "
"Hypercholesterolemia ","BMI "
"Psychiatric/Mental Health Problem ","Depression "
"People in House ","Sleep Duration "
"Sleep Duration ","Fatigue "
"Exercise ","BMI "
"Alcohol Consumption ","Exercise "
"Street/Recreational Drug Use ","Psychiatric/Mental Health Problem "
"Apnea Score ","ESS Score "
"Narcolepsy ","ESS Score "
"Narcolepsy ","Fatigue "
"Insomnia ","ESS Score "
"Insomnia ","Fatigue "
"Depression ","Insomnia "
"Fatigue ","Alcohol Consumption "
"Smoker ","Exercise "
"Smoker ","Street/Recreational Drug Use "
