"from","to"
"Age ","Other Cardiovascular Problems "
"Age ","Tonsillectomy/Adenoidectomy "
"Age ","Hypercholesterolemia "
"Age ","People in House "
"Age ","Coffee Consumption "
"Age ","rMEQ Total Score "
"Age ","Smoker "
"Sex ","Gastrointestinal Problem/Surgery "
"Sex ","Endocrine/Metabolic Problem "
"Sex ","Psychiatric/Mental Health Problem "
"Race ","Ethnicity "
"Hypertension ","Type 2 Diabetes "
"Allergies/Sinus Problems ","Nasal/Jaw/Apnea Surgery "
"Allergies/Sinus Problems ","Nose Total Score "
"Tonsillectomy/Adenoidectomy ","Nasal/Jaw/Apnea Surgery "
"Tonsillectomy/Adenoidectomy ","Dental Problems "
"Ear/Nose/Throat Problem/Surgery ","Nasal/Jaw/Apnea Surgery "
"Ear/Nose/Throat Problem/Surgery ","Dental Problems "
"Gastrointestinal Problem/Surgery ","Neurologic Problem "
"Gastrointestinal Problem/Surgery ","Genetic Testing "
"Hypercholesterolemia ","BMI "
"Hypercholesterolemia ","Hypertension "
"Hypercholesterolemia ","Endocrine/Metabolic Problem "
"Endocrine/Metabolic Problem ","Gastrointestinal Problem/Surgery "
"Psychiatric/Mental Health Problem ","Dental Problems "
"Psychiatric/Mental Health Problem ","Gastrointestinal Problem/Surgery "
"Psychiatric/Mental Health Problem ","Medical Problem/Surgery "
"Psychiatric/Mental Health Problem ","Depression "
"Medical Problem/Surgery ","Other Pulmonary Problems "
"Medical Problem/Surgery ","Urologic/Kidney Problem "
"Alcohol Consumption ","Exercise "
"Alcohol Consumption ","Coffee Consumption "
"ESS Score ","Difficulty Staying Awake "
"Difficulty Staying Awake ","Sleep Attacks "
"Insomnia ","Nose Total Score "
"Insomnia ","FOSQ Summary Score "
"Insomnia ","RLS Current Probability "
"FOSQ Summary Score ","Eating Impact on Alertness/Wakefulness "
"Depression ","Insomnia "
"Depression ","FOSQ Summary Score "
"Depression ","GADQ Total Score "
"Fatigue ","Alcohol Consumption "
"Fatigue ","Difficulty Staying Awake "
"Fatigue ","Sleep Seizures "
"Smoker ","Exercise "
